nom_plante,type_plante,superficie_hectare,latitude,longitude,region,ph,azote_ppm,phosphore_ppm,potassium_ppm,humidite_percent,matiere_organique_percent,temperature_celsius,avg_temp,total_rain,avg_humidity,avg_radiation,year,yield_tons_per_hectare,quality
Maïs,Céréale,43.44,36.8065,10.1815,Tunis,6.0,239.2,75.9,259.5,19.4,1.67,11.7,22.39,161.4,64.18,22.78,2022,6.947,high
Maïs,Céréale,26.71,36.8065,10.1815,Tunis,4.58,243.4,84.9,124.3,20.9,1.88,19.1,22.39,161.4,64.18,22.78,2022,5.283,medium
Maïs,Céréale,26.2,36.8065,10.1815,Tunis,6.95,60.7,36.3,178.2,37.4,6.39,16.0,22.39,161.4,64.18,22.78,2022,6.359,medium
Maïs,Céréale,5.79,36.8065,10.1815,Tunis,6.93,67.5,15.9,382.1,67.9,6.56,19.1,22.39,161.4,64.18,22.78,2022,5.821,high
Maïs,Céréale,26.48,36.8065,10.1815,Tunis,4.99,138.9,13.1,368.3,25.5,5.47,19.4,22.39,161.4,64.18,22.78,2022,5.79,medium
Maïs,Céréale,10.6,36.8065,10.1815,Tunis,8.38,200.5,94.6,363.2,45.9,7.41,12.7,22.39,161.4,64.18,22.78,2022,6.718,medium
Maïs,Céréale,40.31,36.8065,10.1815,Tunis,6.05,89.7,84.6,174.9,26.9,4.57,14.2,22.39,161.4,64.18,22.78,2022,6.362,high
Maïs,Céréale,6.68,36.8065,10.1815,Tunis,4.52,209.4,73.6,305.2,56.3,1.06,20.8,22.39,161.4,64.18,22.78,2022,6.102,medium
Maïs,Céréale,24.14,36.8065,10.1815,Tunis,5.82,44.0,38.0,163.8,53.8,5.28,36.6,22.39,161.4,64.18,22.78,2022,6.261,medium
Maïs,Céréale,6.29,36.8065,10.1815,Tunis,7.54,153.5,79.4,222.8,41.4,3.71,10.8,22.39,161.4,64.18,22.78,2022,6.911,medium
Maïs,Céréale,4.77,36.8065,10.1815,Tunis,5.76,141.9,91.7,137.3,34.6,6.17,16.9,22.39,161.4,64.18,22.78,2022,6.551,medium
Maïs,Céréale,27.43,36.8065,10.1815,Tunis,8.22,207.8,67.0,355.0,58.2,1.9,36.8,22.39,161.4,64.18,22.78,2022,5.933,medium
Maïs,Céréale,11.88,36.8065,10.1815,Tunis,5.41,124.0,83.6,351.3,10.4,4.33,22.5,22.39,161.4,64.18,22.78,2022,6.201,medium
Maïs,Céréale,13.34,36.8065,10.1815,Tunis,8.27,101.1,56.7,296.1,31.8,7.79,38.9,22.39,161.4,64.18,22.78,2022,5.899,medium
Maïs,Céréale,12.74,36.8065,10.1815,Tunis,5.64,38.1,64.9,225.9,13.1,2.59,37.2,22.39,161.4,64.18,22.78,2022,5.825,medium
Maïs,Céréale,31.98,36.8065,10.1815,Tunis,8.44,83.3,70.5,316.6,24.3,5.96,21.0,22.39,161.4,64.18,22.78,2022,6.462,high
Maïs,Céréale,1.81,36.8065,10.1815,Tunis,4.86,213.8,38.9,115.3,12.4,4.93,30.3,22.39,161.4,64.18,22.78,2022,5.401,medium
Maïs,Céréale,6.56,36.8065,10.1815,Tunis,7.08,68.4,72.2,185.4,66.2,1.53,20.2,22.39,161.4,64.18,22.78,2022,6.06,medium
Maïs,Céréale,32.02,36.8065,10.1815,Tunis,7.77,152.1,57.7,134.6,15.6,7.23,37.0,22.39,161.4,64.18,22.78,2022,5.878,medium
Maïs,Céréale,45.03,36.8065,10.1815,Tunis,7.4,227.4,89.8,323.0,48.5,1.13,14.8,22.39,161.4,64.18,22.78,2022,6.601,medium
Maïs,Céréale,12.63,36.8065,10.1815,Tunis,4.52,65.4,59.4,292.2,49.1,2.18,31.4,22.3,252.1,63.72,22.55,2023,6.735,medium
Maïs,Céréale,12.96,36.8065,10.1815,Tunis,7.1,216.8,69.2,248.9,15.6,3.26,18.0,22.3,252.1,63.72,22.55,2023,6.894,high
Maïs,Céréale,36.4,36.8065,10.1815,Tunis,8.07,168.9,81.5,225.9,44.6,4.19,15.9,22.3,252.1,63.72,22.55,2023,6.733,medium
Maïs,Céréale,48.37,36.8065,10.1815,Tunis,8.26,239.9,92.3,179.6,10.9,7.46,22.8,22.3,252.1,63.72,22.55,2023,6.257,medium
Maïs,Céréale,5.76,36.8065,10.1815,Tunis,7.9,99.7,25.3,244.9,66.2,5.72,27.1,22.3,252.1,63.72,22.55,2023,6.353,medium
Maïs,Céréale,40.7,36.8065,10.1815,Tunis,8.01,193.0,72.7,295.9,31.6,2.7,34.3,22.3,252.1,63.72,22.55,2023,7.094,high
